Food,Most_Common_Emotion
none,dont
chocolate chips ice cream,stress
frozen yogurt pizza fast food,stress
pizza mac and cheese ice cream,boredom
ice cream chocolate chips,stress
candy brownies and soda,none
chocolate ice cream french fries pretzels,stress
ice cream cheeseburgers chips,comfort
donuts ice cream chips,boredom
mac and cheese chocolate and pasta,stress
pasta grandma homemade chocolate cake anything homemade,boredom
chocolate pasta soup chips popcorn,sadness
cookies popcorn and chips,sadness
ice cream cake chocolate,stress
pizza fruit spaghetti chicken and potatoes,friends
cookies donuts candy bars,boredom
saltfish candy and kit kat,stress
chips cookies ice cream,usually
chocolate ice crea,sadness
pizza wings chinese,boredom
fast food pizza subs,happiness
chocolate sweets ice cream,mostly
burgers chips cookies,sadness
chilli soup pot pie,stress
soup pasta brownies cake,long
chocolate ice creammilkshake cookies,boredom
chips ice cream microwaveable foods,boredom
chicken fingers pizza,boredom
cookies hot chocolate beef jerky,survival
tomato soup pizza fritos meatball sub dr pepper,boredom
cookies macncheese brownies french fries,stress
chips and dip pepsi,stres
grandmas chinese peruvian food from back home and sushi,hunger
ice cream cookies  chinese food and chicken nuggets,boredom
french fries chips ice cream,boredom
mac n cheese peanut butter and banana sandwich omelet,boredom
pizza doughnuts mcdonalds,boredom
chocolate chips candy,stress
chocolate popcorn ice cream,boredom
candy,unknown
pop,unknown
chocolate ,unknown
chipotle ,unknown
moes,no
pizza ice cream fries cereal cookies,usually
ice cream chocolate twizzlers,tired
ice cream cookie dough cookies cheese,boredom
ice cream cereal and salt and vinegar chips,all
potato chips ice cream chocolate cookies,stress
mac and cheese fried chicken cornbread,hunger
popcorn chips candy  fries,sadness
chexmix wegmans cookies cheezits,boredom
pizza ice cream chips,stressed
fried chicken mashed potatoes mac and cheese,they
popcorn chex mix pizza,stress
burger,lazy
pizza chocolate and ice cream,boredom
fries chips fried chicken pizza grapes,boredom
peanut butter sandwich pretzals garlic bread,stress
chips dip fries pizza,bored
pizza ice cream chicken wings,comfort
pizza chocolate chips bagels ice capps,just
chocolate ice cream pasta,stress
mac n cheese chips and salsa ice cream,boredom
peanut butter dessets pretzels,sadness
macaroons truffles peanut butter n chocolate ice cream,do
ice cream cookies ice cream,boredom
carrots and ranch pretzels dark chocolate,sadness
cookies nutella ice cream coffee fruit,bordem
mac and cheese,boredom
chocolate popcorn icecream,sadness
ice cream cake mozzarella sticks pierogies,boredom
chips mac and cheese pizza french fries,stress
pizza burritos slim jims,boredom
broccoli spaghetti squash quinoa and grilled chicken,bad
chocolate ice cream cookie dough,boredom
pizza pretzels fruit snacks deli sandwhich,boredom
chips ice cream,boredom
unknown,unknown
mac and cheese potato soup ice cream chips and cheese,sadness
chocolate pizza and mashed potatoes,boredom
pizza cookies steak,boredom
chocolate fruit and ice cream,stress
chips sweets popcorn,boredom
cookies burgers chicken noodle soup ice cream,happiness
cake french fries chicken nuggets,boredom
pizza ice cream cookies,boredom
mashed potatoes pasta,boredom
pasta dishes cheesecake pancakes,sadness
ice cream pizza cookies,mostly
chinese food moes sponge candy homemade lasagne,boredom
pizza pasta mac and cheese,sad
little debbie snacks donuts pizza,unknown
carrots plantain chips almonds popcorn,stress
chips ice cream fruit snacks,boredom
macaroni and cheese chicken noodle soup pizza,boredom
chocolate chips ice cream french fires pizza,stress
mac and cheese lasagna chinese food,boredom
candy chinese mcdonalds,laziness
doritos mac and cheese ice cream,boredom
ice cream cake pop pizza and milkshakes,happiness
mac and cheese pizza ice cream and french fries,boredom
soup pasta cake,depression
mac  cheese frosted brownies chicken nuggs,they
watermelon grapes ice cream,sad
macaroni and cheese stuffed peppers hamburgers french fries,boredom
pizza mashed potatoes spaghetti,anger
dark chocolate terra chips reeses cupsdark chocolate and breadcrackers with cottage cheese,anxiousness
chips chocolate mozzarella sticks,boredom
ice cream chips candy,boredom
pizza soda chocolate brownie chicken tikka masala and butter naan,stress
chocolate pasta cookies,always
candy salty snacks toast,stress
mac in cheese pizza mozzarella sticks,stress
icecream pizza chocolate,sadness
snacks chips,boredom
chocolate ice cream pizza,sadness
ice cream pizza chinese food,boredom
burgers indian and korean food,sadness
chocolate bar ice cream pretzels potato chips and protein bars,stress
ice cream chocolate pizza cucumber,loneliness
noodle  any kinds of noodle tuna sandwich and egg,eating
chinese chips cake,stress
chips rice chicken curry,happiness
wine mac and cheese pizza ice cream,boredom
pizza  wings  cheesecake,loneliness
rice potato seaweed soup,sadness
mac n cheese lasagna pizza,happiness
chocolates pizza and ritz,hormones
